              0            1            2            3            4  \
25   125.809100   212.776000   505.554300   219.385400   307.288900
26     0.045300     0.059000     0.083400     0.069000     0.118600
27     2.133300     1.855000     0.897500     1.919600     2.326700
28     0.128900     0.207700     0.110100     0.186000     0.257200
29     0.264001     0.539025     0.507823     0.423834     0.291035
30     0.085662     0.031785     0.033955     0.049116     0.054883
31    10.927888    15.185917    12.797611    10.332091     8.897771
32     0.238108     0.210589     0.177310     0.185462     0.191235
33    34.670000    44.550000    34.000000    34.750000    28.230000
34    21.582100    25.957100    37.812700    48.870200    45.351600
35    10.300000    10.480000    14.210000     8.300000    10.470000
36     3.480000     4.680000     4.660000     3.520000     4.650000
37     7.050000     5.640000     9.860000     4.770000     5.840000
38     8.550000     7.790000    11.530000     7.960000     8.990000
39   141.964784   204.624985   226.273196   167.294832   245.386402
40   147.146126   204.490822   232.515874   167.488415   242.086766
             15           16           17           18           19  \
0     60.328343    60.352831    59.465800    61.457170    60.150748
1      7.426501     8.918434    11.923593     8.377848    13.896056
2    153.060000   192.980000   145.940000    84.670000   190.220000
3      6.548700    10.597100     4.011000     3.014100     8.366800
4     32.634000    51.241000    23.057000    22.190000    21.707000
5     17.113300    15.096500    17.931600    16.703500    18.876600
6      3.085000     5.058000     2.726000     4.740000     3.388000
7      0.927087     0.889054     0.882929     0.880710     0.842273
8      1.623875     1.755144     1.694690     2.164226     2.388317
9     30.958462    53.858865    28.044575    24.585171    21.132768
10     1.261460     1.257186     1.111505     1.170842     1.493802
11     6.951200     6.706150     7.122700     6.839300     7.044250
12     1.474842     0.866914     1.559908     1.055274     1.502668
13     4.324521     3.155680     7.214950     4.518105     7.266935
14     0.373754     0.234785     0.383311     0.259444     0.292729
15     4.218500     2.452000     2.529500     3.274000     4.589500
16   158.614500    53.306500    71.516000    90.161500    68.380500
17  1599.670000  2226.430000  3349.940000  2638.120000  3831.420000
18     2.440000    -0.490000    -0.390000    -0.440000     0.020000
19    73.715300    43.211600    46.149900    32.683600    34.970600
20   331.140000   232.860000   309.660000   199.760000   313.510000
21     4.298000     3.289000     4.074000     3.048000     3.962000
22     5.939600     2.831900     4.087400     2.131900     2.958800
23    18.478500    21.496100    31.522900    22.193600    28.639400
24     0.919100     0.650300     0.908400     1.007500     1.195000
25   600.919200   351.154800   375.826600   286.314400   198.805900
26     0.093700     0.054200     0.082000     0.058800     0.057900
27     0.782100     0.633600     1.352500     0.969400     1.258200
28     0.093500     0.072900     0.081500     0.051100     0.131000
29     0.609485     0.402324     0.387285     0.201160     0.362800
30     0.039404     0.028286     0.026679     0.016779     0.035462
31    10.929064     9.836643     9.747487    12.703465    11.458348
32     0.207450     0.220799     0.190988     0.184338     0.199707
33    25.430000    29.410000    38.520000    29.360000    37.580000
34    52.457800    35.220100    21.201900    41.777600    49.786500
35     8.850000     9.280000    12.040000     7.890000    11.410000
36     4.040000     3.220000     5.420000     3.420000     4.250000
37     5.090000     6.530000     7.110000     4.470000     6.950000
38     6.500000     3.840000    11.520000     5.230000     9.760000
39   203.081591   174.074167   203.206496   154.619242   183.600200
40   230.200433   174.884895   205.507897   152.514615   183.686539
             20           21           22           23           24  \
0     59.886225    60.737192    60.542765    60.470229    60.662617
1     13.475069    12.784677    12.264738    11.940474    13.421862
2    215.060000   422.520000   368.670000   247.070000   234.450000
3      5.522100     6.807300    21.950400     7.061400     7.413300
4     12.881000    11.710000    19.328000    18.300000    23.540000
5     18.503000    17.322800    17.435500    17.231200    18.212700
6      2.512000     2.218000     2.544000     1.827500     2.758500
7      0.812534     0.828417     0.885888     0.798504     0.842622
8      1.975131     2.403084     1.742176     3.838856     2.171004
9     46.732795    18.517576    38.435424    36.643298    18.345526
10     1.155397     1.145666     1.143022     1.277434     1.344706
11     7.026950     6.972200     6.896300     6.065650     6.953400
12     1.401759     1.105036     0.944599     0.731373     1.468098
13     7.099955     7.536665     6.179368     9.664169     7.493900
14     0.279793     0.236755     0.253782     0.343982     0.339726
15     5.971500     3.963000     4.996000     4.982500     4.605000
16    82.585500    32.868500    35.238500    61.586500   128.441500
17  3245.220000  3297.480000  2545.610000  3702.220000  3567.130000
18     1.990000     1.460000     2.340000     0.700000     0.480000
19    59.172300    33.259800    53.861700    65.121200    47.745900
20   359.840000   262.070000   403.880000   459.580000   317.730000
21     4.597000     4.855000     4.829000     5.078000     4.165000
22     3.959300     2.350400     4.074900     2.341700     3.077400
23    32.333400    18.390400    30.459000    12.339200    23.621400
24     1.074700     1.120100     1.058600     1.851600     1.082700
25   251.109200   160.998800   203.800300   335.735600   282.218400
26     0.073800     0.046700     0.057700     0.165100     0.059600
27     1.170700     1.652100     1.098900     2.735400     1.181900
28     0.165300     0.120200     0.151800     0.195800     0.113100
29     0.571173     0.189384     0.462755     0.480264     0.365791
30     0.035862     0.085847     0.038855     0.046582     0.036452
31    12.906016     8.637331    11.413466     9.329959    10.896382
32     0.214881     0.160703     0.214605     0.191562     0.186655
33    37.440000    28.450000    40.950000    27.310000    36.900000
34    33.153100    64.649900    33.701100    27.405100    41.075200
35    10.800000     9.610000     8.570000     8.780000    11.200000
36     3.540000     3.500000     4.070000     3.890000     4.150000
37     7.300000     6.290000     4.460000     4.600000     7.210000
38     8.800000     4.900000     7.150000     7.500000     7.840000
39   193.715091   140.009651   222.649566   262.455735   184.201962
40   190.564315   137.510815   218.408900   270.235071   184.266308
             25           26           27           28           29  \
0     60.196743    59.957117    59.679210    59.928415    59.813063
1     13.435853    13.896684    13.727141    14.519734    13.841882
2    200.180000   174.640000   144.180000   163.310000   163.110000
3      6.129600    12.313200    15.682100     9.030900    14.957500
4     11.260000    27.574000    19.370000    18.529000    22.394000
5     18.980200    19.549100    19.860200    19.936300    19.742000
6      2.333500     2.598500     2.181000     2.202000     2.695500
7      0.775559     0.852810     0.857435     0.848426     0.864200
8      2.422462     1.456001     1.948865     1.622076     1.467218
9     20.406518    18.176666    58.260251    21.239468    18.611355
10     1.165299     1.430573     1.549671     1.360176     1.352240
11     7.049250     7.051850     7.135100     6.965500     7.150550
12     1.371215     1.562027     1.590861     1.008994     1.398486
13     8.623205     7.477380     7.528412     8.106240     6.869921
14     0.271655     0.359025     0.419687     0.292696     0.299703
15     5.654000     5.508000     9.658000     6.254000     5.089500
16    47.844500   112.143500   150.088500    47.862000    68.294500
17  4292.980000  4114.190000  3370.430000  5224.690000  4252.340000
18    -0.590000     0.090000     2.490000    -0.730000    -0.540000
19    56.320700    47.593300    96.546100    38.670600    37.725400
20   356.790000   294.870000   543.580000   274.930000   268.700000
21     4.104000     3.426000     7.634000     4.041000     3.966000
22     3.266000     3.192800    11.032100     1.998100     4.274500
23    32.402500    29.037400    61.175300    37.210700    26.180400
24     1.074300     0.780400     1.267200     1.734200     1.028800
25   487.700900   461.985500   486.757800   171.026900   187.877500
26     0.068300     0.071800     0.114100     0.063000     0.055500
27     1.798000     1.338600     1.469500     1.496900     1.493200
28     0.124100     0.083500     0.193700     0.135400     0.088100
29     0.385385     0.457425     0.929409     0.245097     0.460540
30     0.044319     0.028872     0.024515     0.046438     0.030564
31    14.860992    11.955182    14.149731    11.570021    10.139289
32     0.189474     0.188481     0.180052     0.170068     0.200635
33    41.770000    43.450000    53.640000    36.820000    41.330000
34    27.103100    28.233900    43.662800    15.309300    28.249500
35    11.880000    12.770000    11.410000    11.170000    12.930000
36     3.530000     5.420000     4.820000     4.750000     6.020000
37     8.470000     7.550000     6.460000     6.310000     7.040000
38     7.330000     9.860000    11.990000     7.630000     7.990000
39   219.987340   189.598372   194.791444   182.129399   207.692317
40   219.262622   191.980037   190.425457   185.075401   210.461049
             30           31           32           33           34  \
0     60.191838    60.145694    60.435965    60.518039    60.459219
1     13.879535    14.026679    13.829690    12.868936    13.293637
2    262.010000   197.160000   155.340000   229.080000   181.070000
3      9.149800     4.951700     9.103500    14.950100    16.718100
4     21.455000    11.634000    27.628000    14.367000    17.948000
5     19.073900    19.146400    18.083200    18.270600    18.598900
6      3.355500     2.551000     2.814500     2.604500     3.393500
7      0.851372     0.755996     0.826890     0.826045     0.841799
8      1.504196     3.583358     2.592502     2.300666     2.308410
9     27.357596    41.189062    29.264983    27.819443    33.198768
10     1.332549     1.350994     1.263025     1.241189     1.323465
11     7.081850     6.891050     7.064200     6.899600     7.129050
12     1.154358     1.210784     1.572914     1.236854     2.379518
13     5.980697     7.057174     7.431445     8.160960     7.385970
14     0.238533     0.244470     0.418869     0.287443     0.362741
15     4.554000     5.931500     5.902000     5.894000     6.236500
16    30.716000    45.226500   160.934000    85.633500   135.289500
17  2677.840000  4582.290000  3316.690000  3791.590000  3625.810000
18    -0.120000     1.160000     0.890000     0.210000     1.010000
19    37.143800    35.522500    49.713500    50.803900    67.486600
20   269.980000   285.710000   325.870000   344.700000   374.160000
21     4.054000     4.481000     5.231000     4.374000     4.646000
22     2.514200     3.551700     4.369100     3.490800     4.070000
23    35.667900    47.423900    31.769300    34.023900    51.541200
24     1.036300     1.496400     1.119500     1.401300     1.123300
25   222.849500   181.375400   294.018300   211.236900   415.831900
26     0.057200     0.090400     0.063000     0.075700     0.073800
27     1.095300     1.611700     1.364800     2.151000     1.349600
28     0.101900     0.136100     0.106100     0.140200     0.151700
29     0.388023     0.492656     0.509894     0.374777     0.393457
30     0.042538     0.037552     0.033536     0.040781     0.032706
31    11.343180    16.852012    12.312485    13.085195    11.712090
32     0.193561     0.179944     0.184497     0.188492     0.191534
33    39.770000    41.230000    39.220000    39.110000    36.410000
34    18.199100    25.531400    55.549100    32.149100    37.165900
35    11.970000    13.520000    11.110000    11.900000    11.890000
36     5.320000     3.590000     4.400000     4.480000     4.560000
37     6.800000     9.820000     6.490000     7.550000     7.270000
38     6.930000     8.050000     7.840000    10.220000     9.260000
39   173.796277   179.110590   201.706705   189.246207   189.062806
40   176.459422   182.615491   199.249053   196.549823   192.447062
             35           36           37           38           39  \
0     60.430941    60.533413    60.808249    60.689120    60.380348
1     13.972137    14.570330    12.874485    13.566114    13.713651
2    161.470000   189.070000   386.500000   352.550000   300.530000
3      8.912600    44.425100     6.796900     7.516800     6.362800
4     18.405000    10.975000    23.673000    12.195000    18.925000
5     18.883600    19.669200    16.786500    18.049300    18.816900
6      3.169000     2.415500     1.897500     1.999500     2.299500
7      0.840870     0.870942     0.784574     0.778514     0.835712
8      2.239503     1.591145     2.910061     2.967608     2.053965
9     55.202683    19.127113    27.074024    34.577460    22.171311
10     1.363641     1.182090     1.192532     1.163931     1.284229
11     7.042650     7.218950     6.980100     6.872850     6.894250
12     1.664210     1.689593     1.204609     0.922951     0.847165
13     7.418291     7.157037    10.421350     9.205819     8.434545
14     0.472472     0.413042     0.297228     0.326864     0.277927
15     5.278500     7.046000     5.146000     6.838500     4.728000
16   186.822000   149.814500    50.085000   108.523500    67.295000
17  3858.710000  4325.270000  3506.430000  3519.270000  4420.640000
18     0.850000     0.980000    -0.120000     1.230000    -0.490000
19    58.781600    56.818300    41.706300    62.841000    42.588600
20   366.250000   380.890000   268.180000   468.790000   260.040000
21     4.082000     4.717000     4.971000     5.357000     3.444000
22     3.569400     4.326100     2.936300     4.493200     2.698600
23    43.974700    28.359400    18.564700    32.937600    31.134700
24     1.143400     1.097500     1.839200     1.659600     1.201700
25   327.509900   257.844900   146.009000   260.871800   189.073100
26     0.065700     0.077300     0.071100     0.083100     0.044900
27     1.632900     1.246200     2.860900     2.050500     2.162500
28     0.138600     0.114400     0.186200     0.267900     0.129300
29     0.753096     0.545553     0.334474     0.553125     0.285172
30     0.038873     0.027759     0.053500     0.057441     0.071394
31    12.354705    10.039493    12.443565    12.860415    10.652541
32     0.196836     0.190271     0.176121     0.192215     0.256426
33    39.840000    40.780000    35.730000    39.800000    39.370000
34    42.375000    37.337600    13.887400    48.793300    18.027400
35    12.050000    12.160000     8.990000    11.550000    10.880000
36     4.290000     3.920000     3.930000     4.120000     4.830000
37     7.360000     8.230000     4.880000     7.340000     6.140000
38     9.430000    16.440000     8.280000     8.020000     7.000000
39   195.711492   204.465860   144.907519   216.999205   204.043455
40   206.581323   209.609889   147.769116   217.453551   205.019556
             40           41           42           43           44  \
0     60.132715    60.083018    60.480495    60.548138    61.221774
1     13.810225    11.545473    11.525957    15.245141    14.766658
2    238.410000   158.080000   149.720000   175.980000   301.370000
3      5.278700     4.477100    80.857800    17.449500     4.383300
4     15.576000    16.651000    15.288000    11.455000    12.705000
5     17.900600    17.962600    17.151500    19.404600    18.438200
6      2.751500     2.867000     3.220000     3.356000     4.368500
7      0.840592     0.854055     0.876818     0.860555     0.883761
8      2.052015     1.914593     2.033800     1.017629     1.117158
9     22.180426    57.463132    23.862580    21.272975    20.166504
10     1.307148     1.238546     1.238277     1.155661     1.148644
11     6.818850     7.157400     7.107750     7.151650     7.171000
12     1.118875     2.476974     1.679379     1.364022     1.749373
13     5.757070     6.807156     5.319259     6.022090     4.817810
14     0.280611     0.457551     0.331612     0.284548     0.208914
15     3.187000     6.008500     3.245500     3.798000     3.714500
16    67.811000   162.535500   147.614500    28.163000    12.364500
17  3941.920000  3789.850000  3449.390000  3257.420000  4069.440000
18    -0.040000     1.960000    -0.300000    -0.520000    -0.710000
19    42.812200    68.037100    44.914200    41.653500    53.882400
20   297.560000   426.380000   239.740000   333.950000   298.250000
21     4.167000     4.971000     3.467000     3.529000     3.143000
22     2.382000     3.858900     3.236000     2.701700     2.627600
23    57.910900    36.622200    19.015100    39.248100    27.811100
24     0.988100     1.049800     0.808200     0.722000     0.760500
25   183.011900   338.887300   339.172600   214.493700   169.845800
26     0.042700     0.069200     0.061500     0.047600     0.033100
27     1.119200     1.256600     0.982200     0.724100     0.729600
28     0.094100     0.131000     0.079300     0.082300     0.105000
29     0.238196     0.487227     0.526642     0.409947     0.232452
30     0.055076     0.027110     0.040903     0.035801     0.037095
31     9.658581    10.548476    10.017135     9.981281    11.548826
32     0.160019     0.172196     0.248160     0.214479     0.186363
33    41.380000    32.810000    32.090000    41.380000    27.280000
34    19.489400    26.615300    18.237300    34.112100    15.385200
35    13.690000    11.150000    12.200000    12.050000     8.950000
36     7.110000     4.370000     5.370000     4.580000     3.470000
37     6.860000     6.600000     6.880000     7.280000     5.720000
38     8.510000     7.800000     9.930000    11.500000     6.600000
39   189.388808   196.854059   169.660184   255.000082   248.003330
40   190.488462   196.630882   188.946028   251.992444   249.156723
             45           46           47           48           49  \
0     61.154745    60.618742    60.857071    60.849894    60.545591
1     13.885468    11.873658    10.567660    10.194777    10.747739
2    222.940000   238.650000   300.260000   334.560000   333.590000
3      4.538100     3.439800     2.573200    11.775900     4.882600
4     14.351000    17.354000    19.410000    29.305000    18.064000
5     18.291000    17.233000    16.222600    16.678900    15.945800
6      2.910500     3.085500     4.148000     4.643000     2.362000
7      0.831649     0.856632     0.857055     0.889066     0.773934
8      2.065864     2.154595     2.233861     1.797042     4.302262
9     40.264672    40.149581    36.459955    20.892092    30.285518
10     1.185777     1.206028     1.316449     1.191754     1.266939
11     6.982250     6.998350     7.022950     7.172500     6.696350
12     1.450897     1.321645     1.924648     1.535502     0.913006
13     6.040167     6.959495     5.165515     5.136990     8.912567
14     0.330727     0.433296     0.407619     0.373062     0.385164
15     4.698000     3.725000     4.061000     3.744500     4.856000
16   124.086500   140.953500   199.674500   157.135500   137.539500
17  4919.850000  3533.020000  3130.980000  2573.740000  3115.000000
18    -0.140000     1.120000     0.940000     1.440000     2.480000
19    50.117900    48.652800    38.557700    46.437000    56.575300
20   349.390000   388.480000   218.210000   268.700000   408.010000
21     4.096000     3.748000     3.530000     4.439000     4.218000
22     3.485100     2.980100     3.458100     4.215900     3.304500
23    27.544500    16.082200    20.663300    19.693000    16.057400
24     1.081400     1.063300     0.849100     0.803100     1.356400
25   283.705600   307.629400   349.787300   454.492600   224.859100
26     0.080000     0.078400     0.059500     0.064500     0.062000
27     1.098000     1.820700     1.058300     0.998400     1.804800
28     0.114200     0.118000     0.114400     0.110200     0.178200
29     0.295326     0.350560     0.279172     0.417802     0.374883
30     0.039851     0.042154     0.049200     0.020547     0.040774
31     9.922433     9.547703     8.892725     9.970157     9.756356
32     0.169032     0.191925     0.208320     0.182636     0.176795
33    38.670000    32.950000    29.660000    30.680000    32.960000
34    24.850800    38.217100    31.333400    23.016900    46.468200
35    11.420000     9.480000     9.150000    10.190000    10.110000
36     5.000000     4.310000     4.020000     4.840000     4.920000
37     6.710000     5.550000     4.900000     5.620000     5.460000
38     8.250000     6.850000     5.530000     5.180000     7.230000
39   186.736219   181.656126   147.144728   151.553763   233.243983
40   186.046360   180.363675   148.816665   151.948828   221.085262
             50           51           52           53           54  \
0     60.465230    60.489291    61.318812    59.891610    60.003953
1     14.348928    13.624769    14.645052    12.162263    11.659150
2    193.060000   263.130000   288.740000   152.550000   163.610000
3      8.218000     5.602900     3.565400    13.923400    10.028300
4     14.093000    18.206000    13.100000    18.364000    28.474000
5     19.117100    17.712300    17.954900    18.551700    18.151700
6      3.114000     2.471500     2.484000     1.744000     3.730500
7      0.836899     0.828355     0.844051     0.860939     0.879259
8      3.145036     2.842462     2.284138     2.043802     2.220405
9     36.845021    40.263272    43.381472    23.945670    16.477642
10     1.315852     1.282657     1.308298     1.318987     1.176254
11     7.052800     7.171800     7.143500     6.997500     6.926300
12     1.588253     2.476247     2.225286     1.760468     0.971819
13     6.826000     6.871922     6.969347     8.182545     6.443717
14     0.384714     0.466892     0.338949     0.695088     0.409784
15     5.419500     5.527000     5.567000     9.566000     2.605000
16   190.222500    51.187500    47.337500   371.934000   154.882000
17  4232.680000  3819.200000  3582.280000  3214.980000  3335.860000
18     0.190000     1.250000     1.570000     3.420000    -0.170000
19    57.627300    67.103700    61.215500    61.692200    28.585100
20   399.490000   354.190000   398.680000   354.780000   226.000000
21     4.429000     4.300000     4.029000     6.022000     2.903000
22     3.100400     3.562000     3.151000     5.065100     2.433900
23    32.214000    46.806300    50.072500    16.794700    24.242100
24     1.280300     1.129800     1.081100     1.263800     0.881100
25   258.563300   384.429400   310.246500   264.061100   300.643600
26     0.075200     0.059500     0.055900     0.076500     0.058600
27     1.298300     1.197100     1.208800     1.902200     1.229200
28     0.151700     0.121300     0.120000     0.123200     0.086200
29     0.371791     0.505745     0.460529     0.753908     0.298126
30     0.031206     0.037547     0.045744     0.021958     0.033965
31    11.826410    10.893208    10.650993    13.547843     8.640726
32     0.182686     0.190023     0.205469     0.192507     0.215565
33    38.850000    40.210000    42.410000    42.400000    36.040000
34    43.101700    44.487800    43.909000    40.403100    23.370800
35    12.110000    11.680000    12.050000    12.820000    10.670000
36     4.700000     4.870000     4.910000     5.440000     3.950000
37     7.210000     6.820000     6.580000     7.500000     6.720000
38    10.290000     7.810000     7.190000    11.100000     7.110000
39   192.703516   198.348878   207.267679   165.300401   192.797384
40   192.044197   196.541819   210.667209   162.476327   186.031581
             55           56           57           58           59  \
0     59.615686    60.141999    59.849067    59.419350    61.023444
1      7.332058     9.823082    10.703083     7.694563     7.810991
2     86.360000   140.470000   174.390000    95.490000   219.980000
3      2.893400    13.469700    14.362500     4.999800    29.136800
4     27.582000    24.658000    23.135000    41.746000    35.801000
5     16.970800    17.194300    17.508400    17.432200    12.855300
6      5.375000     4.945500     2.438000     5.188500     7.565500
7      0.917920     0.841011     0.871591     0.898340     0.897514
8      1.406321     4.351056     3.698526     1.909417     1.744820
9     23.385714    72.160728    39.418485    24.733411    15.560054
10     1.263879     1.445881     1.341358     1.270364     1.347989
11     7.118500     7.188050     7.094550     7.013950     6.603300
12     1.989895     2.391323     1.813357     1.870072     0.780182
13     3.888157     5.530210     5.609657     4.387048     2.543665
14     0.735073     0.656697     0.552621     0.597096     0.312641
15     2.830500     5.928500     6.214000     3.935000     2.304000
16   493.566500   330.654000   220.573500   337.567000   111.776000
17  1313.220000  3010.480000  2344.760000  1034.390000  1752.030000
18     0.700000     2.300000     1.800000     2.000000    -0.420000
19    26.480300    85.496200    55.227800    63.615400    54.319900
20   190.130000   438.800000   419.780000   319.890000   192.500000
21     3.672000     5.072000     5.745000     4.537000     3.279000
22     3.596900     4.763500     4.207600     3.171800     2.539700
23    44.959300    34.114000    34.262800    23.212600    14.204200
24     0.558000     0.990600     1.023400     0.661700     0.544300
25   693.937600   472.952000   490.810600   429.562800   493.699900
26     0.060300     0.090100     0.087500     0.055000     0.059800
27     0.629800     1.238600     1.134100     0.700000     0.785000
28     0.057400     0.137800     0.114300     0.062300     0.065400
29     0.431403     0.661530     0.466337     0.468950     0.398722
30     0.026543     0.033151     0.030024     0.030741     0.022490
31    11.962198    12.227021    10.405190    16.177187     9.279863
32     0.228475     0.205565     0.201475     0.236569     0.232717
33    33.060000    35.670000    33.890000    31.100000    26.600000
34   179.179500    64.078600    56.503900    47.620100    30.826600
35     8.120000    11.010000    10.590000     8.110000     7.540000
36     2.880000     3.960000     4.060000     3.510000     2.380000
37     5.380000     6.540000     5.950000     4.690000     5.330000
38     4.400000     7.630000     7.250000     5.730000     4.980000
39   113.023039   207.478478   195.848981   193.965950   141.915757
40   105.461582   219.298071   202.685058   195.706861   147.486147
             60           61           62           63           64  \
0     60.175752    59.605256    59.716940    59.735166    59.398296
1     10.354457     9.418207    10.150965     9.432361    10.668992
2    141.030000   137.310000   160.190000   345.890000    54.880000
3      8.042600    21.031400    15.185200     4.995100     2.490700
4     24.498000    22.252000    22.259000    15.804000    18.731000
5     16.278400    15.872300    17.249800    14.792200    17.897500
6      3.000500     4.071500     2.372000     5.888500     1.779500
7      0.879840     0.864458     0.899496     0.876483     0.817605
8      2.087245     1.885680     2.267074     1.781834     5.046453
9     31.077528    38.527595    40.666344    27.123308    49.680398
10     1.283978     1.248527     1.231806     1.375485     1.836534
11     7.031600     6.955550     7.162850     6.800100     7.094800
12     1.482810     1.398591     1.622003     1.429762     2.848375
13     5.137450     4.039015     5.437945     4.835330     6.943965
14     0.271782     0.291626     0.403799     0.243649     0.958801
15     4.310500     3.682500     6.403000     3.518000    16.528500
